"","Name","Publisher","Developer","Puntajes Cr?ticos","n? criticas criticos","Puntajes usuarios","n? cr?ticas usuarios"
"93","Red Dead Redemption","Take-Two Interactive","Rockstar San Diego","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"94","Super Mario Sunshine","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"95","World of Warcraft","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"96","Driver","GT Interactive","Reflections Interactive","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"97","Gears of War 3","Microsoft Game Studios","Epic Games","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"98","Kinect Sports","Microsoft Game Studios","Rare Ltd.","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"99","Gears of War","Microsoft Game Studios","Epic Games","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"100","FIFA 15","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"101","Metal Gear Solid 2: Sons of Liberty","Konami Digital Entertainment","KCEJ","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"102","Metal Gear Solid","Konami Digital Entertainment","KCEJ","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"103","Metal Gear Solid 4: Guns of the Patriots","Konami Digital Entertainment","Kojima Productions","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"104","Final Fantasy XII","Square Enix","Square Enix","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"105","The Last of Us","Sony Computer Entertainment Europe","Naughty Dog","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios alto"
"106","LittleBigPlanet","Sony Computer Entertainment","SCE/WWS, Media Molecule","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios intermedio"
"107","Resident Evil 2","Virgin Interactive","Capcom","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"108","Dragon Quest IX: Sentinels of the Starry Skies","Nintendo","Level 5","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"109","Tekken 2","Sony Computer Entertainment","Namco","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"110","Destiny","Activision","Bungie Software, Bungie","Puntajes Cr?ticos alto","n? criticas criticos muy alto","Puntajes usuarios alto","n? cr?ticas usuarios intermedio"
"111","LEGO Star Wars: The Complete Saga","LucasArts","Traveller's Tales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"112","Cooking Mama","505 Games","Taito Corporation","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"113","Assassin's Creed II","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"114","Assassin's Creed","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"115","Forza Motorsport 3","Microsoft Game Studios","Turn 10","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"116","Super Mario Advance","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"117","Monster Hunter Freedom Unite","Capcom","Capcom","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"118","Batman: Arkham City","Warner Bros. Interactive Entertainment","Rocksteady Studios","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"119","Grand Theft Auto V","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"120","Mario Kart: Super Circuit","Nintendo","Intelligent Systems","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"121","Crash Bandicoot: The Wrath of Cortex","Universal Interactive","Traveller's Tales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"122","Call of Duty: World at War","Activision","Treyarch","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"123","Uncharted 4: A Thief's End","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios alto","n? cr?ticas usuarios alto"
"124","Final Fantasy XIII","Square Enix","Square Enix","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"125","Final Fantasy IX","SquareSoft","SquareSoft","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"126","Assassin's Creed III","Ubisoft","Ubisoft","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"127","Final Fantasy X-2","Electronic Arts","SquareSoft","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"128","Call of Duty: Advanced Warfare","Activision","Sledgehammer Games","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"129","Assassin's Creed II","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"130","Madden NFL 2004","Electronic Arts","EA Tiburon","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"131","New Super Mario Bros. U","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"132","Dragon Quest VIII: Journey of the Cursed King","Square Enix","Level 5","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"133","Professor Layton and the Curious Village","Nintendo","Level 5","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"134","FIFA Soccer 13","Electronic Arts","Electronic Arts","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"135","Diablo III","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios bajo","n? cr?ticas usuarios muy alto"
"136","Medal of Honor: Rising Sun","Electronic Arts","EA LA","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"137","Guitar Hero II","RedOctane","Harmonix Music Systems","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"138","Fable III","Microsoft Game Studios","Lionhead Studios","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"139","Resident Evil 5","Capcom","Capcom","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"140","The Legend of Zelda: Phantom Hourglass","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"141","FIFA Soccer 11","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"142","Resident Evil","Virgin Interactive","Capcom","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"143","Grand Theft Auto: Vice City Stories","Take-Two Interactive","Rockstar Leeds","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"144","Tony Hawk's Pro Skater","Activision","Neversoft Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"145","Guitar Hero III: Legends of Rock","Activision","Neversoft Entertainment, BudCat","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"146","Link's Crossbow Training","Nintendo","Nintendo","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"147","Fallout 3","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"148","Uncharted: Drake's Fortune","Sony Computer Entertainment","Naughty Dog, SCE/WWS","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"149","Madden NFL 06","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"150","StarCraft II: Wings of Liberty","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
