"","Name","Publisher","Developer","Puntajes Cr?ticos","Puntajes usuarios"
"79","Gears of War 2","Microsoft Game Studios","Epic Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"80","Uncharted 3: Drake's Deception","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"81","Call of Duty 4: Modern Warfare","Activision","Infinity Ward","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"82","Uncharted 2: Among Thieves","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"83","Big Brain Academy","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"84","Red Dead Redemption","Take-Two Interactive","Rockstar San Diego","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"85","FIFA 14","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"86","Assassin's Creed III","Ubisoft","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"87","Donkey Kong Country Returns","Nintendo","Retro Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"88","Halo: Combat Evolved","Microsoft Game Studios","Bungie Software","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"89","The Elder Scrolls V: Skyrim","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"90","Pokémon Emerald Version","Nintendo","Game Freak","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"91","Kingdom Hearts","Sony Computer Entertainment","SquareSoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"92","Halo 3: ODST","Microsoft Game Studios","Bungie Software, Bungie","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"93","Red Dead Redemption","Take-Two Interactive","Rockstar San Diego","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"94","Super Mario Sunshine","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"95","World of Warcraft","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"96","Driver","GT Interactive","Reflections Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"97","Gears of War 3","Microsoft Game Studios","Epic Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"98","Kinect Sports","Microsoft Game Studios","Rare Ltd.","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"99","Gears of War","Microsoft Game Studios","Epic Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"100","FIFA 15","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"101","Metal Gear Solid 2: Sons of Liberty","Konami Digital Entertainment","KCEJ","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"102","Metal Gear Solid","Konami Digital Entertainment","KCEJ","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"103","Metal Gear Solid 4: Guns of the Patriots","Konami Digital Entertainment","Kojima Productions","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"104","Final Fantasy XII","Square Enix","Square Enix","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"105","The Last of Us","Sony Computer Entertainment Europe","Naughty Dog","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"106","LittleBigPlanet","Sony Computer Entertainment","SCE/WWS, Media Molecule","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"107","Resident Evil 2","Virgin Interactive","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"108","Dragon Quest IX: Sentinels of the Starry Skies","Nintendo","Level 5","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"109","Tekken 2","Sony Computer Entertainment","Namco","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"110","Destiny","Activision","Bungie Software, Bungie","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"111","LEGO Star Wars: The Complete Saga","LucasArts","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"112","Cooking Mama","505 Games","Taito Corporation","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"113","Assassin's Creed II","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"114","Assassin's Creed","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"115","Forza Motorsport 3","Microsoft Game Studios","Turn 10","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"116","Super Mario Advance","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"117","Monster Hunter Freedom Unite","Capcom","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"118","Batman: Arkham City","Warner Bros. Interactive Entertainment","Rocksteady Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"119","Grand Theft Auto V","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"120","Mario Kart: Super Circuit","Nintendo","Intelligent Systems","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"121","Crash Bandicoot: The Wrath of Cortex","Universal Interactive","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"122","Call of Duty: World at War","Activision","Treyarch","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"123","Uncharted 4: A Thief's End","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"124","Final Fantasy XIII","Square Enix","Square Enix","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"125","Final Fantasy IX","SquareSoft","SquareSoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"126","Assassin's Creed III","Ubisoft","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"127","Final Fantasy X-2","Electronic Arts","SquareSoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"128","Call of Duty: Advanced Warfare","Activision","Sledgehammer Games","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"129","Assassin's Creed II","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"130","Madden NFL 2004","Electronic Arts","EA Tiburon","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"131","New Super Mario Bros. U","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"132","Dragon Quest VIII: Journey of the Cursed King","Square Enix","Level 5","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"133","Professor Layton and the Curious Village","Nintendo","Level 5","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"134","FIFA Soccer 13","Electronic Arts","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"135","Diablo III","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios bajo"
"136","Medal of Honor: Rising Sun","Electronic Arts","EA LA","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"137","Guitar Hero II","RedOctane","Harmonix Music Systems","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"138","Fable III","Microsoft Game Studios","Lionhead Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"139","Resident Evil 5","Capcom","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"140","The Legend of Zelda: Phantom Hourglass","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"141","FIFA Soccer 11","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"142","Resident Evil","Virgin Interactive","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"143","Grand Theft Auto: Vice City Stories","Take-Two Interactive","Rockstar Leeds","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"144","Tony Hawk's Pro Skater","Activision","Neversoft Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"145","Guitar Hero III: Legends of Rock","Activision","Neversoft Entertainment, BudCat","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"146","Link's Crossbow Training","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"147","Fallout 3","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"148","Uncharted: Drake's Fortune","Sony Computer Entertainment","Naughty Dog, SCE/WWS","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"149","Madden NFL 06","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"150","StarCraft II: Wings of Liberty","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"151","Assassin's Creed","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"152","God of War III","Sony Computer Entertainment","SCE Santa Monica","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"153","Crash Team Racing","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"154","LEGO Star Wars: The Complete Saga","LucasArts","TT Fusion","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"155","Driver 2","Atari","Reflections Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"156","Batman: Arkham City","Warner Bros. Interactive Entertainment","Rocksteady Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"157","Tony Hawk's Pro Skater 2","Activision","Neversoft Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"158","The Lord of the Rings: The Two Towers","Electronic Arts","Stormfront Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"159","Tomb Raider","Eidos Interactive","Core Design Ltd.","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"160","Animal Crossing: City Folk","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"161","Uncharted: The Nathan Drake Collection","Sony Computer Entertainment","Bluepoint Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"162","The Legend of Zelda: The Wind Waker","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"163","Guitar Hero III: Legends of Rock","Activision","Vicarious Visions","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"164","Luigi's Mansion: Dark Moon","Nintendo","Next Level Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"165","Forza Motorsport 4","Microsoft Game Studios","Turn 10","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"166","Madden NFL 2005","Electronic Arts","EA Tiburon","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"167","Guitar Hero III: Legends of Rock","Activision","Neversoft Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"168","Madden NFL 07","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"169","Halo 5: Guardians","Microsoft Game Studios","343 Industries","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"170","Spider-Man: The Movie","Activision","Treyarch","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"171","Call of Duty: Infinite Warfare","Activision","Infinity Ward","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"172","God of War","Sony Computer Entertainment","SCE Santa Monica","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"173","Splatoon","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"174","Nintendo Land","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"175","Tony Hawk's Pro Skater 3","Activision","Neversoft Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"176","Winning Eleven: Pro Evolution Soccer 2007","Konami Digital Entertainment","Konami","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"177","The Elder Scrolls IV: Oblivion","Take-Two Interactive","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"178","Need for Speed: Most Wanted","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"179","Michael Jackson: The Experience","Ubisoft","Ubisoft Paris, Ubisoft Montpellier","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"180","Resistance: Fall of Man","Sony Computer Entertainment","Insomniac Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"181","Kingdom Hearts II","Square Enix","Square Enix","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"182","Super Mario 3D World","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"183","Fable II","Microsoft Game Studios","Lionhead Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"184","Namco Museum","Namco Bandai Games","Mass Media","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"185","Batman: Arkham Asylum","Eidos Interactive","Rocksteady Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"186","Metal Gear Solid 3: Snake Eater","Konami Digital Entertainment","KCEJ","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"187","Assassin's Creed: Revelations","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"188","Fallout 4","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"189","FIFA 14","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"190","Daxter","Sony Computer Entertainment","Ready at Dawn","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"191","FIFA Soccer 06","Electronic Arts","EA Canada","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"192","EyeToy Play","Sony Computer Entertainment","SCEE, Zoe Mode","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"193","Gran Turismo 5 Prologue","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"194","Assassin's Creed: Revelations","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"195","Street Fighter IV","Capcom","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"196","Madden NFL 2003","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"197","Half-Life","Vivendi Games","Valve Software","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"198","World of Warcraft: The Burning Crusade","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"199","Battlefield 1","Electronic Arts","EA DICE","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"200","God of War II","Sony Computer Entertainment","SCE Santa Monica","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"201","Fallout: New Vegas","Bethesda Softworks","Obsidian Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"202","Forza Motorsport 2","Microsoft Game Studios","Turn 10","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"203","Carnival Games","Take-Two Interactive","Cat Daddy Games","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"204","Watch Dogs","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"205","Tekken Tag Tournament","Namco Bandai Games","Namco","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"206","Far Cry 4","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"207","Left 4 Dead 2","Electronic Arts","Valve Software","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"208","The Witcher 3: Wild Hunt","Namco Bandai Games","CD Projekt Red Studio","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"209","Assassin's Creed: Unity","Ubisoft","Ubisoft, Ubisoft Montreal","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"210","Batman: Arkham Knight","Warner Bros. Interactive Entertainment","Rocksteady Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"211","The Legend of Zelda: Skyward Sword","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"212","Fallout 3","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"213","Professor Layton and the Diabolical Box","Nintendo","Level 5","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"214","EA Sports Active","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"215","Tony Hawk's Underground","Activision","Neversoft Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"216","Monster Hunter 4 Ultimate","Nintendo","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"217","The Elder Scrolls V: Skyrim","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"218","NBA 2K16","Take-Two Interactive","Visual Concepts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"219","Tekken 5","Namco Bandai Games","Namco","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"220","MotorStorm","Sony Computer Entertainment","Evolution Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"221","World Soccer Winning Eleven 8 International","Konami Digital Entertainment","KCET","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"222","Sports Champions","Sony Computer Entertainment","SCEA, Zindagi Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"223","Call of Duty: Ghosts","Activision","Infinity Ward","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"224","Flash Focus: Vision Training in Minutes a Day","Nintendo","Nintendo, Namco Bandai Games","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"225","Tom Clancy's The Division","Ubisoft","Massive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
