"","X1","Publisher","Is_Fiasco"
"163",163,"Sony Computer Entertainment",FALSE
"164",164,"Activision",FALSE
"165",165,"Electronic Arts",TRUE
"166",166,"Ubisoft",FALSE
"167",167,"Electronic Arts",TRUE
"168",168,"Take-Two Interactive",FALSE
"169",169,"Ubisoft",FALSE
"170",170,"Electronic Arts",FALSE
"171",171,"Electronic Arts",FALSE
"172",172,"Sony Computer Entertainment",FALSE
"173",173,"Electronic Arts",FALSE
"174",174,"Electronic Arts",FALSE
"175",175,"Electronic Arts",FALSE
"176",176,"Sony Computer Entertainment",FALSE
"177",177,"THQ",FALSE
"178",178,"Namco Bandai Games",FALSE
"179",179,"Take-Two Interactive",FALSE
"180",180,"Activision",FALSE
"181",181,"Electronic Arts",FALSE
"182",182,"Electronic Arts",TRUE
"183",183,"Electronic Arts",FALSE
"184",184,"Activision",FALSE
"185",185,"Microsoft Game Studios",FALSE
"186",186,"Activision",TRUE
"187",187,"Ubisoft",FALSE
"188",188,"Electronic Arts",FALSE
"189",189,"Take-Two Interactive",FALSE
"190",190,"Electronic Arts",FALSE
"191",191,"Sega",FALSE
"192",192,"Microsoft Game Studios",FALSE
"193",193,"Take-Two Interactive",FALSE
"194",194,"Electronic Arts",FALSE
"195",195,"Electronic Arts",FALSE
"196",196,"Electronic Arts",FALSE
"197",197,"Sony Computer Entertainment",FALSE
"198",198,"Electronic Arts",FALSE
"199",199,"Electronic Arts",FALSE
"200",200,"THQ",FALSE
"201",201,"Electronic Arts",FALSE
"202",202,"Electronic Arts",TRUE
"203",203,"Electronic Arts",FALSE
"204",204,"Electronic Arts",FALSE
"205",205,"Take-Two Interactive",TRUE
"206",206,"Activision",FALSE
"207",207,"Electronic Arts",FALSE
"208",208,"Take-Two Interactive",FALSE
"209",209,"THQ",FALSE
"210",210,"Sony Computer Entertainment",TRUE
"211",211,"Take-Two Interactive",FALSE
"212",212,"Electronic Arts",FALSE
"213",213,"Ubisoft",FALSE
"214",214,"Konami Digital Entertainment",FALSE
"215",215,"Sony Computer Entertainment",FALSE
"216",216,"Electronic Arts",FALSE
"217",217,"Microsoft Game Studios",FALSE
"218",218,"Electronic Arts",TRUE
"219",219,"THQ",FALSE
"220",220,"Electronic Arts",TRUE
"221",221,"Activision",FALSE
"222",222,"Electronic Arts",FALSE
"223",223,"Take-Two Interactive",FALSE
"224",224,"Microsoft Game Studios",TRUE
"225",225,"THQ",FALSE
"226",226,"Microsoft Game Studios",FALSE
"227",227,"Electronic Arts",FALSE
"228",228,"Electronic Arts",FALSE
"229",229,"Konami Digital Entertainment",FALSE
"230",230,"Electronic Arts",FALSE
"231",231,"Electronic Arts",FALSE
"232",232,"Sega",FALSE
"233",233,"Electronic Arts",TRUE
"234",234,"Sony Computer Entertainment",FALSE
"235",235,"Activision",FALSE
"236",236,"Electronic Arts",TRUE
"237",237,"Take-Two Interactive",FALSE
"238",238,"Ubisoft",FALSE
"239",239,"Activision",FALSE
"240",240,"Electronic Arts",FALSE
"241",241,"Electronic Arts",FALSE
"242",242,"Take-Two Interactive",FALSE
"243",243,"Activision",FALSE
"244",244,"Konami Digital Entertainment",FALSE
"245",245,"THQ",FALSE
"246",246,"THQ",FALSE
"247",247,"Electronic Arts",FALSE
"248",248,"Konami Digital Entertainment",FALSE
"249",249,"Microsoft Game Studios",FALSE
"250",250,"Take-Two Interactive",TRUE
"251",251,"Electronic Arts",FALSE
"252",252,"Take-Two Interactive",TRUE
"253",253,"Take-Two Interactive",FALSE
"254",254,"Take-Two Interactive",FALSE
"255",255,"Activision",TRUE
"256",256,"THQ",FALSE
"257",257,"THQ",FALSE
"258",258,"Namco Bandai Games",FALSE
"259",259,"Electronic Arts",FALSE
"260",260,"Electronic Arts",FALSE
"261",261,"Sony Computer Entertainment",FALSE
"262",262,"Ubisoft",FALSE
"263",263,"Electronic Arts",FALSE
"264",264,"Microsoft Game Studios",FALSE
"265",265,"Electronic Arts",FALSE
"266",266,"Activision",FALSE
"267",267,"Namco Bandai Games",FALSE
"268",268,"Ubisoft",FALSE
"269",269,"Electronic Arts",FALSE
"270",270,"Electronic Arts",FALSE
"271",271,"Electronic Arts",FALSE
"272",272,"Microsoft Game Studios",FALSE
"273",273,"Ubisoft",FALSE
"274",274,"Take-Two Interactive",FALSE
"275",275,"Electronic Arts",FALSE
"276",276,"Electronic Arts",FALSE
"277",277,"Electronic Arts",FALSE
"278",278,"Electronic Arts",FALSE
"279",279,"Electronic Arts",FALSE
"280",280,"Ubisoft",FALSE
"281",281,"Take-Two Interactive",FALSE
"282",282,"Activision",FALSE
"283",283,"THQ",FALSE
"284",284,"Electronic Arts",FALSE
"285",285,"THQ",FALSE
"286",286,"Activision",FALSE
"287",287,"Electronic Arts",FALSE
"288",288,"Activision",TRUE
"289",289,"Electronic Arts",TRUE
"290",290,"Electronic Arts",TRUE
"291",291,"THQ",FALSE
"292",292,"Electronic Arts",FALSE
"293",293,"Activision",FALSE
"294",294,"Electronic Arts",FALSE
"295",295,"Sony Computer Entertainment",FALSE
"296",296,"Take-Two Interactive",FALSE
"297",297,"Electronic Arts",FALSE
"298",298,"Sony Computer Entertainment",FALSE
"299",299,"Activision",TRUE
"300",300,"Namco Bandai Games",FALSE
"301",301,"Electronic Arts",FALSE
"302",302,"Namco Bandai Games",FALSE
"303",303,"Electronic Arts",FALSE
"304",304,"Konami Digital Entertainment",FALSE
"305",305,"Sega",FALSE
"306",306,"Sony Computer Entertainment",FALSE
"307",307,"Electronic Arts",FALSE
"308",308,"Take-Two Interactive",FALSE
"309",309,"Take-Two Interactive",FALSE
"310",310,"Sony Computer Entertainment",FALSE
"311",311,"Microsoft Game Studios",FALSE
"312",312,"THQ",FALSE
"313",313,"THQ",FALSE
"314",314,"Electronic Arts",FALSE
"315",315,"Ubisoft",TRUE
"316",316,"Take-Two Interactive",FALSE
"317",317,"Electronic Arts",FALSE
"318",318,"Activision",FALSE
"319",319,"Activision",FALSE
"320",320,"Electronic Arts",FALSE
"321",321,"Microsoft Game Studios",FALSE
"322",322,"Konami Digital Entertainment",FALSE
"323",323,"Namco Bandai Games",FALSE
"324",324,"Microsoft Game Studios",FALSE
"325",325,"Electronic Arts",FALSE
"326",326,"Electronic Arts",FALSE
"327",327,"Ubisoft",FALSE
"328",328,"Activision",TRUE
"329",329,"Electronic Arts",FALSE
"330",330,"Electronic Arts",FALSE
"331",331,"Electronic Arts",TRUE
"332",332,"Sony Computer Entertainment",FALSE
"333",333,"Take-Two Interactive",FALSE
"334",334,"Electronic Arts",FALSE
"335",335,"THQ",FALSE
"336",336,"Take-Two Interactive",FALSE
"337",337,"Electronic Arts",FALSE
"338",338,"Electronic Arts",FALSE
"339",339,"Activision",FALSE
"340",340,"Electronic Arts",FALSE
"341",341,"Electronic Arts",FALSE
"342",342,"Electronic Arts",FALSE
"343",343,"Activision",FALSE
"344",344,"THQ",FALSE
"345",345,"Electronic Arts",FALSE
"346",346,"Electronic Arts",FALSE
"347",347,"Electronic Arts",FALSE
"348",348,"Sony Computer Entertainment",FALSE
"349",349,"Electronic Arts",FALSE
"350",350,"Electronic Arts",FALSE
"351",351,"Ubisoft",FALSE
"352",352,"Sega",FALSE
"353",353,"Sony Computer Entertainment",FALSE
"354",354,"Electronic Arts",FALSE
"355",355,"Activision",TRUE
"356",356,"Electronic Arts",FALSE
"357",357,"Take-Two Interactive",FALSE
"358",358,"Microsoft Game Studios",FALSE
"359",359,"Microsoft Game Studios",TRUE
"360",360,"Electronic Arts",FALSE
"361",361,"Electronic Arts",FALSE
"362",362,"Activision",FALSE
"363",363,"Ubisoft",FALSE
"364",364,"Konami Digital Entertainment",FALSE
"365",365,"Ubisoft",FALSE
"366",366,"Sega",FALSE
"367",367,"Electronic Arts",FALSE
"368",368,"Microsoft Game Studios",TRUE
"369",369,"Take-Two Interactive",FALSE
"370",370,"Electronic Arts",FALSE
"371",371,"Electronic Arts",FALSE
