"","Platform","Genre","Publisher","Global_Sales","Critic_Score","Rating","Is_Fiasco"
"95","PS2","Action","Sony Computer Entertainment",4.07,93,"M",FALSE
"96","X360","Racing","Microsoft Game Studios",4.05,90,"E",FALSE
"97","PS2","Fighting","Namco Bandai Games",4.05,85,"T",FALSE
"98","X360","Shooter","Electronic Arts",3.97,89,"M",FALSE
"99","PS2","Sports","Activision",3.9,90,"T",FALSE
"100","PS2","Fighting","Namco Bandai Games",3.87,88,"T",FALSE
"101","PS3","Racing","Sony Computer Entertainment",3.87,84,"T",FALSE
"102","PS2","Sports","Konami Digital Entertainment",3.85,91,"E",FALSE
"103","PS3","Sports","Sony Computer Entertainment",3.84,76,"E10+",FALSE
"104","X360","Action","Activision",3.76,77,"E10+",FALSE
"105","PC","Simulation","Electronic Arts",3.76,79,"T",FALSE
"106","PS3","Action","Ubisoft",3.71,88,"M",FALSE
"107","PS2","Sports","Electronic Arts",3.7,81,"E",FALSE
"108","PS2","Sports","Activision",3.67,94,"T",FALSE
"109","PS2","Shooter","Sony Computer Entertainment",3.65,82,"M",FALSE
"110","PS2","Platform","Sony Computer Entertainment",3.64,90,"E",FALSE
"111","PS2","Sports","Konami Digital Entertainment",3.63,82,"E",FALSE
"112","PS3","Sports","Electronic Arts",3.62,91,"E",FALSE
"113","PS2","Racing","Electronic Arts",3.61,64,"T",FALSE
"114","PS2","Action","Take-Two Interactive",3.54,78,"M",FALSE
"115","PS2","Action","Sony Computer Entertainment",3.54,72,"M",FALSE
"116","PS2","Shooter","Electronic Arts",3.53,72,"T",FALSE
"117","X360","Sports","Electronic Arts",3.52,88,"E",FALSE
"118","X360","Shooter","Electronic Arts",3.51,89,"M",FALSE
"119","X360","Action","Ubisoft",3.49,89,"M",FALSE
"120","PS2","Sports","Electronic Arts",3.49,84,"E",FALSE
"121","PS3","Shooter","Electronic Arts",3.49,80,"M",TRUE
"122","X360","Shooter","Electronic Arts",3.48,79,"M",TRUE
"123","X360","Shooter","Electronic Arts",3.47,88,"M",FALSE
"124","X360","Shooter","Take-Two Interactive",3.44,84,"M",FALSE
"125","PS2","Fighting","Namco Bandai Games",3.44,79,"T",FALSE
"126","PS2","Action","Activision",3.41,80,"T",FALSE
"127","PS2","Sports","Electronic Arts",3.4,88,"E",TRUE
"128","PS3","Platform","Sony Computer Entertainment",3.39,91,"E",FALSE
"129","PS3","Shooter","Ubisoft",3.35,90,"M",FALSE
"130","PS2","Shooter","Electronic Arts",3.33,77,"T",FALSE
"131","PS2","Shooter","Take-Two Interactive",3.31,80,"M",FALSE
"132","X360","Action","Ubisoft",3.3,86,"M",FALSE
"133","PS2","Action","Electronic Arts",3.28,85,"T",FALSE
"134","PS2","Action","Activision",3.27,77,"M",FALSE
"135","PS3","Racing","Sony Computer Entertainment",3.23,81,"E",FALSE
"136","PS3","Adventure","Take-Two Interactive",3.17,89,"M",FALSE
"137","PS2","Sports","Electronic Arts",3.14,83,"E",FALSE
"138","PS3","Role-Playing","Ubisoft",3.1,93,"M",FALSE
"139","X360","Role-Playing","Electronic Arts",3.1,96,"M",FALSE
"140","PS2","Sports","Electronic Arts",3.08,94,"E",FALSE
"141","PC","Simulation","Electronic Arts",3.07,75,"T",FALSE
"142","PC","Simulation","Electronic Arts",3.05,70,"T",TRUE
"143","X360","Shooter","Take-Two Interactive",3.05,89,"M",FALSE
"144","X360","Action","Activision",3.04,75,"E10+",FALSE
"145","X360","Role-Playing","Electronic Arts",3.04,93,"M",TRUE
"146","PS3","Adventure","Sony Computer Entertainment",3.03,87,"M",FALSE
"147","X360","Action","THQ",3.03,81,"M",FALSE
